timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712816307514,1002,NBA,200,OK,10 Users 1-2,text,true,,413657,226,10,10,https://www.nba.com/,122,0,75
1712816307514,127,NBA-0,301,Moved Permanently,10 Users 1-2,,true,,1166,113,10,10,http://www.nba.com/,122,0,75
1712816307643,873,NBA-1,200,OK,10 Users 1-2,text,true,,412491,113,10,10,https://www.nba.com/,713,0,165
1712816307811,829,NBA,200,OK,10 Users 1-5,text,true,,413837,226,9,9,https://www.nba.com/,76,0,35
1712816307811,76,NBA-0,301,Moved Permanently,10 Users 1-5,,true,,1166,113,9,9,http://www.nba.com/,76,0,35
1712816307888,752,NBA-1,200,OK,10 Users 1-5,text,true,,412671,113,9,9,https://www.nba.com/,468,0,71
1712816307481,1202,NBA,200,OK,10 Users 1-1,text,true,,413777,226,8,8,https://www.nba.com/,155,0,108
1712816307481,160,NBA-0,301,Moved Permanently,10 Users 1-1,,true,,1166,113,8,8,http://www.nba.com/,155,0,108
1712816307643,1040,NBA-1,200,OK,10 Users 1-1,text,true,,412611,113,8,8,https://www.nba.com/,759,0,165
1712816307613,1200,NBA,200,OK,10 Users 1-3,text,true,,413825,226,7,7,https://www.nba.com/,76,0,32
1712816307613,76,NBA-0,301,Moved Permanently,10 Users 1-3,,true,,1166,113,7,7,http://www.nba.com/,76,0,32
1712816307689,1124,NBA-1,200,OK,10 Users 1-3,text,true,,412659,113,7,7,https://www.nba.com/,762,0,119
1712816308013,870,NBA,200,OK,10 Users 1-7,text,true,,413789,226,6,6,https://www.nba.com/,76,0,33
1712816308013,76,NBA-0,301,Moved Permanently,10 Users 1-7,,true,,1166,113,6,6,http://www.nba.com/,76,0,33
1712816308090,793,NBA-1,200,OK,10 Users 1-7,text,true,,412623,113,6,6,https://www.nba.com/,541,0,73
1712816307715,1396,NBA,200,OK,10 Users 1-4,text,true,,413813,226,5,5,https://www.nba.com/,78,0,33
1712816307715,78,NBA-0,301,Moved Permanently,10 Users 1-4,,true,,1166,113,5,5,http://www.nba.com/,78,0,33
1712816307794,1317,NBA-1,200,OK,10 Users 1-4,text,true,,412647,113,5,5,https://www.nba.com/,1046,0,73
1712816307911,1225,NBA,200,OK,10 Users 1-6,text,true,,413909,226,4,4,https://www.nba.com/,75,0,34
1712816307911,75,NBA-0,301,Moved Permanently,10 Users 1-6,,true,,1166,113,4,4,http://www.nba.com/,75,0,34
1712816307986,1150,NBA-1,200,OK,10 Users 1-6,text,true,,412743,113,4,4,https://www.nba.com/,774,0,69
1712816308213,1195,NBA,200,OK,10 Users 1-9,text,true,,413873,226,3,3,https://www.nba.com/,71,0,32
1712816308213,71,NBA-0,301,Moved Permanently,10 Users 1-9,,true,,1166,113,3,3,http://www.nba.com/,71,0,32
1712816308284,1124,NBA-1,200,OK,10 Users 1-9,text,true,,412707,113,3,3,https://www.nba.com/,804,0,72
1712816308312,1223,NBA,200,OK,10 Users 1-10,text,true,,413921,226,2,2,https://www.nba.com/,75,0,34
1712816308312,75,NBA-0,301,Moved Permanently,10 Users 1-10,,true,,1166,113,2,2,http://www.nba.com/,75,0,34
1712816308387,1148,NBA-1,200,OK,10 Users 1-10,text,true,,412755,113,2,2,https://www.nba.com/,848,0,77
1712816308113,1439,NBA,200,OK,10 Users 1-8,text,true,,413945,226,1,1,https://www.nba.com/,73,0,32
1712816308113,73,NBA-0,301,Moved Permanently,10 Users 1-8,,true,,1166,113,1,1,http://www.nba.com/,73,0,32
1712816308186,1366,NBA-1,200,OK,10 Users 1-8,text,true,,412779,113,1,1,https://www.nba.com/,1080,0,70
